Change Physical Footprint: Designator=C1 Old Footprint=cap_alu_electrolyte_size_code_e New Footprint=cap_alu_electrolyte_size_code_e
Change Physical Footprint: Designator=C2 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=C3 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=C4 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=C5 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=C6 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=C7 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=C8 Old Footprint=cap_0603_standard New Footprint=cap_0603_standard
Change Physical Footprint: Designator=J5 Old Footprint=con_harting_spring_cage_4way New Footprint=con_harting_spring_cage_4way
Change Physical Footprint: Designator=J6 Old Footprint=con_datamate_2row_14pin New Footprint=con_datamate_2row_14pin
Change Physical Footprint: Designator=J7 Old Footprint=SHF-105-01-X-D-SM New Footprint=SHF-105-01-X-D-SM
Change Physical Footprint: Designator=J8 Old Footprint=con_datamate_2row_14pin New Footprint=con_datamate_2row_14pin
Change Physical Footprint: Designator=J9 Old Footprint=con_datamate_2row_14pin New Footprint=con_datamate_2row_14pin
Change Physical Footprint: Designator=R1 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R2 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R3 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R4 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R5 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R6 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R7 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R8 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=R9 Old Footprint=res_0603_standard New Footprint=res_0603_standard
Change Physical Footprint: Designator=U5 Old Footprint=SO8_N New Footprint=SO8_N
Change Physical Footprint: Designator=U6 Old Footprint=SO8_N New Footprint=SO8_N
Change Physical Footprint: Designator=U8 Old Footprint=ic_lin_reg_lm3940_sot223 New Footprint=ic_lin_reg_lm3940_sot223
